Company,Rating,Reviews
ICICI Lombard General Insurance Company,3.5,5.7k
Shapoorji Pallonji Group,4.1,5.6k
Standard Chartered,3.6,5.6k
UST,3.7,5.6k
Apollo Hospitals,4.1,5.6k
Mahindra Finance,3.9,5.6k
Bosch Global Software Technologies,3.7,5.5k
Ashok Leyland,4.0,5.5k
Swiggy,3.7,5.5k
Citicorp,3.7,5.4k
Hero MotoCorp,4.1,5.4k
CGI Group,4.0,5.3k
Cyient,3.6,5.3k
SBI Cards & Payment Services,3.6,5.2k
BNY,3.6,5.2k
Kalpataru Projects International,4.2,5.2k
IQVIA,3.7,5.1k
NTT DATA,3.8,5.1k
JustDial,3.5,5.1k
Nagarjuna Construction Company,4.0,5.1k
SBI Life Insurance Company,3.7,5k
Schneider Electric,4.1,5k
CBRE,4.1,5k
TVS Motor,3.9,5k
Persistent Systems,3.6,5k
State Bank of India,3.8,4.9k
vivo,4.1,4.9k
Atos,3.8,4.9k
KEC International,4.0,4.8k
Ecom Express,4.0,4.8k
Amdocs,3.6,4.8k
JBM Group,3.9,4.8k
Eviden,3.6,4.8k
Varun Beverages,4.0,4.7k
ITC Infotech,3.7,4.7k
Nagarro,3.9,4.7k
Bosch,4.1,4.6k
Randstad,3.7,4.6k
EY Global Delivery Services ( EY GDS),3.5,4.6k
Utkarsh Small Finance Bank,3.6,4.6k
Hewlett Packard Enterprise,4.1,4.6k
Home Credit Finance,4.0,4.5k
Aditya Birla Fashion and Retail,4.0,4.5k
Cars24,3.5,4.5k
Mahindra Logistics,3.7,4.5k
Havells,3.9,4.5k
L&T Finance,3.9,4.5k
Dell,3.8,4.5k
Intas Pharmaceuticals,4.1,4.5k
R1 RCM,3.8,4.5k
OPPO,3.9,4.5k
Tata AIA Life Insurance,3.9,4.4k
Hyundai Motor India Limited,4.1,4.4k
Hetero,3.9,4.4k
Deutsche Bank,3.8,4.4k
Motilal Oswal Financial Services,3.7,4.4k
Berger Paints,3.7,4.3k
TeamLease Services,3.9,4.3k
Lenskart,3.3,4.3k
VE Commercial Vehicles,3.9,4.3k
Thermax Limited,4.2,4.2k
Bajaj Auto,3.8,4.2k
Macleods Pharmaceuticals,3.7,4.2k
Jubilant Foods Works,3.7,4.1k
Aakash Educational Services,3.2,4.1k
Kogta Financial India Limited,4.7,4.1k
LG Electronics,3.9,4.1k
Jindal Steel Limited,3.9,4.1k
Hindalco Industries,4.2,4.1k
Royal Enfield,4.2,4.1k
State Street Corporation,3.5,4k
